nombre,apellido,cargo,foto_url,wikidata_id,provincia,bloque,partido,mandato,mandato_inicio,mandato_fin,fuente_url,fuente_nombre,ministerio
Andrea,Freites,diputado,https://parlamentaria.hcdn.gob.ar/image/27256325689_20231128102702000_small.png,,Tierra del Fuego,UNIÓN POR LA PATRIA,UNIÓN POR LA PATRIA,2023-2027,2023-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Maira,Frias,diputado,https://parlamentaria.hcdn.gob.ar/image/27330723578_20251126102513000_small.png,,Chubut,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
María Virginia,Gallardo,diputado,https://parlamentaria.hcdn.gob.ar/image/27318487222_20251215091750000_small.png,,Corrientes,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Sebastián,Galmarini,diputado,https://parlamentaria.hcdn.gob.ar/image/20266508329_20251201142222000_small.png,,Buenos Aires,UNIÓN POR LA PATRIA,UNIÓN POR LA PATRIA,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Carlos,García,diputado,https://parlamentaria.hcdn.gob.ar/image/20221313837_20231205095639000_small.png,,Chaco,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2023-2027,2023-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
María Teresa,García,diputado,https://parlamentaria.hcdn.gob.ar/image/27122857714_20251126102902000_small.png,,Buenos Aires,UNIÓN POR LA PATRIA,UNIÓN POR LA PATRIA,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Álvaro,García,diputado,https://parlamentaria.hcdn.gob.ar/image/20270878181_20251204142930000_small.png,,Buenos Aires,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Ignacio,García Aresca,diputado,https://parlamentaria.hcdn.gob.ar/image/20208736338_20251203094634000_small.png,,Cordoba,PROVINCIAS UNIDAS,PROVINCIAS UNIDAS,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
José Luis,Garrido,diputado,https://parlamentaria.hcdn.gob.ar/image/20209210739_20240122145422000_small.png,,Santa Cruz,POR SANTA CRUZ,POR SANTA CRUZ,2023-2027,2023-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Antonela,Giampieri,diputado,https://parlamentaria.hcdn.gob.ar/image/27339516524_20251204143259000_small.png,,Ciudad de Buenos Aires,PRO,PRO,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Silvana,Giudici,diputado,https://parlamentaria.hcdn.gob.ar/image/27145408909_20231128100754000_small.png,,Ciudad de Buenos Aires,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2023-2027,2023-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Diego A.,Giuliano,diputado,https://parlamentaria.hcdn.gob.ar/image/20172884181_20231129150454000_small.png,,Santa Fe,UNIÓN POR LA PATRIA,UNIÓN POR LA PATRIA,2023-2027,2023-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
José,Glinski,diputado,https://parlamentaria.hcdn.gob.ar/image/20280759881_20231128111210000_small.png,,Chubut,UNIÓN POR LA PATRIA,UNIÓN POR LA PATRIA,2023-2027,2023-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Rosario,Goitia,diputado,https://parlamentaria.hcdn.gob.ar/image/27264184830_20251126103200000_small.png,,Chaco,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
José,Gomez,diputado,https://parlamentaria.hcdn.gob.ar/image/20161912078_20231129151752000_small.png,,Santiago del Estero,UNIÓN POR LA PATRIA,UNIÓN POR LA PATRIA,2023-2027,2023-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Alfredo,Gonzales,diputado,https://parlamentaria.hcdn.gob.ar/image/20336276188_20251125112710000_small.png,,Jujuy,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Diógenes Ignacio,González,diputado,https://parlamentaria.hcdn.gob.ar/image/20174122777_20251204143840000_small.png,,Corrientes,UCR - UNIÓN CÍVICA RADICAL,UCR - UNIÓN CÍVICA RADICAL,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Álvaro,González,diputado,https://parlamentaria.hcdn.gob.ar/image/20126966505_20231206151116000_small.png,,Ciudad de Buenos Aires,PRO,PRO,2023-2027,2023-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Gerardo Gustavo,González,diputado,https://parlamentaria.hcdn.gob.ar/image/20242876203_20231128101035000_small.png,,Formosa,INNOVACIÓN FEDERAL,INNOVACIÓN FEDERAL,2023-2027,2023-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
María Luisa,González Estevarena,diputado,https://parlamentaria.hcdn.gob.ar/image/27127995236_20251204143658000_small.png,,Buenos Aires,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Juan,Grabois,diputado,https://parlamentaria.hcdn.gob.ar/image/20303347659_20251126103754000_small.png,,Buenos Aires,UNIÓN POR LA PATRIA,UNIÓN POR LA PATRIA,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Maura,Gruber,diputado,https://parlamentaria.hcdn.gob.ar/image/23304576774_20251204144040000_small.png,,Misiones,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Ramiro,Gutiérrez,diputado,https://parlamentaria.hcdn.gob.ar/image/20178882873_20200206125402_small.png,,Buenos Aires,UNIÓN POR LA PATRIA,UNIÓN POR LA PATRIA,2023-2027,2023-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Carlos,Gutiérrez,diputado,https://parlamentaria.hcdn.gob.ar/image/10821747_20200214145746000_small.png,,Cordoba,PROVINCIAS UNIDAS,PROVINCIAS UNIDAS,2023-2027,2023-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Jairo,Guzmán,diputado,https://parlamentaria.hcdn.gob.ar/image/20303559680_20251204144249000_small.png,,Santa Cruz,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Raúl,Hadad,diputado,https://parlamentaria.hcdn.gob.ar/image/20323020516_20251126104035000_small.png,,Corrientes,UNIÓN POR LA PATRIA,UNIÓN POR LA PATRIA,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Itai,Hagman,diputado,https://parlamentaria.hcdn.gob.ar/image/20190103200_20251127083856000_small.png,,Ciudad de Buenos Aires,UNIÓN POR LA PATRIA,UNIÓN POR LA PATRIA,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Diego,Hartfield,diputado,https://parlamentaria.hcdn.gob.ar/image/20284663447_20251211134306000_small.png,,Misiones,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Oscar A.,Herrera Ahuad,diputado,https://parlamentaria.hcdn.gob.ar/image/20223522514_20251126104204000_small.png,,Misiones,INNOVACIÓN FEDERAL,INNOVACIÓN FEDERAL,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Patricia,Holzman,diputado,https://parlamentaria.hcdn.gob.ar/image/27176050034_20251204144807000_small.png,,Ciudad de Buenos Aires,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Gerardo,Huesen,diputado,https://parlamentaria.hcdn.gob.ar/image/20279611412_20231206151210000_small.png,,Tucuman,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2023-2027,2023-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Gladys,Humenuk,diputado,https://parlamentaria.hcdn.gob.ar/image/27231385776_20251204145032000_small.png,,Buenos Aires,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Ana María,Ianni,diputado,https://parlamentaria.hcdn.gob.ar/image/27209648909_20231128100843000_small.png,,Santa Cruz,UNIÓN POR LA PATRIA,UNIÓN POR LA PATRIA,2023-2027,2023-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
María Cecilia,Ibañez,diputado,https://parlamentaria.hcdn.gob.ar/image/23171578434_20231129152402000_small.png,,Cordoba,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2023-2027,2023-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Carlos Gustavo,Jaime Quiroga,diputado,https://parlamentaria.hcdn.gob.ar/image/20291658971_20251201114641000_small.png,,San Juan,PRODUCCION Y TRABAJO,PRODUCCION Y TRABAJO,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Pablo,Juliano,diputado,https://parlamentaria.hcdn.gob.ar/image/23337997589_20231128111433000_small.png,,Buenos Aires,PROVINCIAS UNIDAS,PROVINCIAS UNIDAS,2023-2027,2023-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Máximo Carlos,Kirchner,diputado,https://parlamentaria.hcdn.gob.ar/image/20258693109_20231128170631000_small.png,,Buenos Aires,UNIÓN POR LA PATRIA,UNIÓN POR LA PATRIA,2023-2027,2023-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Moira,Lanesan Sancho,diputado,https://parlamentaria.hcdn.gob.ar/image/27314401234_20251127085330000_small.png,,Santa Cruz,UNIÓN POR LA PATRIA,UNIÓN POR LA PATRIA,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Andrés Ariel,Laumann,diputado,https://parlamentaria.hcdn.gob.ar/image/20225959111_20251204145542000_small.png,,Entre Rios,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Aldo,Leiva,diputado,https://parlamentaria.hcdn.gob.ar/image/20165030398_20240319150734000_small.png,,Chaco,UNIÓN POR LA PATRIA,UNIÓN POR LA PATRIA,2023-2027,2023-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Lilia,Lemoine,diputado,https://parlamentaria.hcdn.gob.ar/image/27282985263_20231128101233000_small.png,,Buenos Aires,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2023-2027,2023-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Andrés,Leone,diputado,https://parlamentaria.hcdn.gob.ar/image/20217318670_20251204145720000_small.png,,Ciudad de Buenos Aires,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Mercedes,Llano,diputado,https://parlamentaria.hcdn.gob.ar/image/27267928539_20231128104245000_small.png,,Mendoza,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2023-2027,2023-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Enrique,Lluch,diputado,https://parlamentaria.hcdn.gob.ar/image/20296629597_20251204145853000_small.png,,Cordoba,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Johanna Sabrina,Longo,diputado,https://parlamentaria.hcdn.gob.ar/image/27296966075_20251126105244000_small.png,,Buenos Aires,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Jimena,López,diputado,https://parlamentaria.hcdn.gob.ar/image/27277083561_20251126105452000_small.png,,Buenos Aires,UNIÓN POR LA PATRIA,UNIÓN POR LA PATRIA,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Cecilia,López Pasquali,diputado,https://parlamentaria.hcdn.gob.ar/image/27057991025_20251204150040000_small.png,,Santiago del Estero,UNIÓN POR LA PATRIA,UNIÓN POR LA PATRIA,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Martín,Lousteau,diputado,https://parlamentaria.hcdn.gob.ar/image/20219540125_20251125150757000_small.png,,Ciudad de Buenos Aires,PROVINCIAS UNIDAS,PROVINCIAS UNIDAS,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Juan Pablo,Luque,diputado,https://parlamentaria.hcdn.gob.ar/image/20263667000_20251126081336000_small.png,,Chubut,UNIÓN POR LA PATRIA,UNIÓN POR LA PATRIA,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Lorena,Macyszyn,diputado,https://parlamentaria.hcdn.gob.ar/image/27267660633_20231129152015000_small.png,,Buenos Aires,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2023-2027,2023-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Marcelo,Mango,diputado,https://parlamentaria.hcdn.gob.ar/image/20173882174_20251201142709000_small.png,,Rio Negro,UNIÓN POR LA PATRIA,UNIÓN POR LA PATRIA,2023-2027,2025-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Mario,Manrique,diputado,https://parlamentaria.hcdn.gob.ar/image/20146757066_20231128100511000_small.png,,Buenos Aires,UNIÓN POR LA PATRIA,UNIÓN POR LA PATRIA,2023-2027,2023-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Marianela,Marclay,diputado,https://parlamentaria.hcdn.gob.ar/image/27305499108_20251126085708000_small.png,,Entre Rios,UNIÓN POR LA PATRIA,UNIÓN POR LA PATRIA,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Varinia Lis,Marín,diputado,https://parlamentaria.hcdn.gob.ar/image/27201070746_20251126110014000_small.png,,La Pampa,UNIÓN POR LA PATRIA,UNIÓN POR LA PATRIA,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Juan,Marino,diputado,https://parlamentaria.hcdn.gob.ar/image/20338868244_20231128101152000_small.png,,Buenos Aires,UNIÓN POR LA PATRIA,UNIÓN POR LA PATRIA,2023-2027,2023-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Álvaro,Martínez,diputado,https://parlamentaria.hcdn.gob.ar/image/20326276287_20251201145432000_small.png,,Mendoza,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Germán Pedro,Martínez,diputado,https://parlamentaria.hcdn.gob.ar/image/20242395752_20200206125405_small.png,,Santa Fe,UNIÓN POR LA PATRIA,UNIÓN POR LA PATRIA,2023-2027,2023-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Nicolás,Massot,diputado,https://parlamentaria.hcdn.gob.ar/image/20310895955_20231128100601000_small.png,,Buenos Aires,ENCUENTRO FEDERAL,ENCUENTRO FEDERAL,2023-2027,2023-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Martín,Matzkin,diputado,,,La Pampa,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2025-2029,2026-06-24,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Karina,Maureira,diputado,https://parlamentaria.hcdn.gob.ar/image/23221392094_20251211134029000_small.png,,Neuquen,LA NEUQUINIDAD,LA NEUQUINIDAD,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Nicolás,Mayoraz,diputado,https://parlamentaria.hcdn.gob.ar/image/20202980210_20231128104924000_small.png,,Santa Fe,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2023-2027,2023-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Gladys,Medina,diputado,https://parlamentaria.hcdn.gob.ar/image/27233105193_20251202145510000_small.png,,Tucuman,INDEPENDENCIA,INDEPENDENCIA,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Martín,Menem,diputado,https://parlamentaria.hcdn.gob.ar/image/20245792906_20231207105307000_small.png,,La Rioja,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2023-2027,2023-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Julieta,Metral Asensio,diputado,https://parlamentaria.hcdn.gob.ar/image/27347466331_20251126110610000_small.png,,Mendoza,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Guillermo,Michel,diputado,https://parlamentaria.hcdn.gob.ar/image/20256611210_20251126111108000_small.png,,Entre Rios,UNIÓN POR LA PATRIA,UNIÓN POR LA PATRIA,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Fernanda,Miño,diputado,https://parlamentaria.hcdn.gob.ar/image/27241001070_20251126111348000_small.png,,Buenos Aires,UNIÓN POR LA PATRIA,UNIÓN POR LA PATRIA,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Juan Carlos,Molina,diputado,https://parlamentaria.hcdn.gob.ar/image/20179418046_20251203102227000_small.png,,Santa Cruz,UNIÓN POR LA PATRIA,UNIÓN POR LA PATRIA,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Soledad,Molinuevo,diputado,https://parlamentaria.hcdn.gob.ar/image/27225573641_20251126111910000_small.png,,Tucuman,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Matías,Molle,diputado,https://parlamentaria.hcdn.gob.ar/image/20253485478_20231128101340000_small.png,,Buenos Aires,UNIÓN POR LA PATRIA,UNIÓN POR LA PATRIA,2023-2027,2023-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Soledad,Mondaca,diputado,https://parlamentaria.hcdn.gob.ar/image/27340841366_20251126112238000_small.png,,Neuquen,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Fernando,Monguillot,diputado,https://parlamentaria.hcdn.gob.ar/image/20336951292_20251204152800000_small.png,,Catamarca,ELIJO CATAMARCA,ELIJO CATAMARCA,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Juan Pablo,Montenegro,diputado,https://parlamentaria.hcdn.gob.ar/image/20266676531_20251204153033000_small.png,,Santa Fe,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Guillermo,Montenegro,diputado,https://parlamentaria.hcdn.gob.ar/image/20245846828_20231205094335000_small.png,,Buenos Aires,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2023-2027,2023-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Roxana,Monzón,diputado,https://parlamentaria.hcdn.gob.ar/image/27239191288_20231128101806000_small.png,,Buenos Aires,UNIÓN POR LA PATRIA,UNIÓN POR LA PATRIA,2023-2027,2023-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Francisco,Morchio,diputado,https://parlamentaria.hcdn.gob.ar/image/20245607068_20231129150853000_small.png,,Entre Rios,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2023-2027,2023-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Cecilia,Moreau,diputado,https://parlamentaria.hcdn.gob.ar/image/27256151524_20200206125351_small.png,,Buenos Aires,UNIÓN POR LA PATRIA,UNIÓN POR LA PATRIA,2023-2027,2023-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Julio,Moreno Ovalle,diputado,https://parlamentaria.hcdn.gob.ar/image/20112830325_20231207101650000_small.png,,Salta,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2023-2027,2023-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Hugo Antonio,Moyano,diputado,https://parlamentaria.hcdn.gob.ar/image/20305063291_20251127154357000_small.png,,Buenos Aires,UNIÓN POR LA PATRIA,UNIÓN POR LA PATRIA,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Jorge,Mukdise,diputado,https://parlamentaria.hcdn.gob.ar/image/20228949907_20251126121705000_small.png,,Santiago del Estero,UNIÓN POR LA PATRIA,UNIÓN POR LA PATRIA,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Gabriela Luciana,Muñoz,diputado,https://parlamentaria.hcdn.gob.ar/image/27348606684_20251127141340000_small.png,,Neuquen,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2023-2027,2025-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Estela Mary,Neder,diputado,https://parlamentaria.hcdn.gob.ar/image/23137026104_20200206125333_small.png,,Santiago del Estero,UNIÓN POR LA PATRIA,UNIÓN POR LA PATRIA,2023-2027,2023-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Lisandro,Nieri,diputado,https://parlamentaria.hcdn.gob.ar/image/20227777436_20231130151346000_small.png,,Mendoza,UCR - UNIÓN CÍVICA RADICAL,UCR - UNIÓN CÍVICA RADICAL,2023-2027,2023-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Miriam,Niveyro,diputado,https://parlamentaria.hcdn.gob.ar/image/27200012513_20251126125955000_small.png,,Buenos Aires,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Sebastián,Nóblega,diputado,https://parlamentaria.hcdn.gob.ar/image/20303646362_20231130151045000_small.png,,Catamarca,ELIJO CATAMARCA,ELIJO CATAMARCA,2023-2027,2023-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Javier,Noguera,diputado,https://parlamentaria.hcdn.gob.ar/image/20217440743_20251127092235000_small.png,,Tucuman,INDEPENDENCIA,INDEPENDENCIA,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
José,Nuñez,diputado,https://parlamentaria.hcdn.gob.ar/image/20242920644_20200206125307_small.png,,Santa Fe,PROVINCIAS UNIDAS,PROVINCIAS UNIDAS,2023-2027,2023-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
