nombre,apellido,cargo,provincia,bloque,mandato,foto_url,wikidata_id,fuente_url,fuente_nombre
Nicolás,AlfredoTrotta,diputado,,,,,,https://es.wikipedia.org/wiki/Anexo:Diputados_nacionales_de_Argentina_(2025-2027),Wikipedia - Anexo:Diputados nacionales de Argentina (2025-2027)
Patricia,MaríaVásquez,diputado,,,,,,https://es.wikipedia.org/wiki/Anexo:Diputados_nacionales_de_Argentina_(2025-2027),Wikipedia - Anexo:Diputados nacionales de Argentina (2025-2027)
Maria,ElenaVelázquez,diputado,,,,,,https://es.wikipedia.org/wiki/Anexo:Diputados_nacionales_de_Argentina_(2025-2027),Wikipedia - Anexo:Diputados nacionales de Argentina (2025-2027)
Andrea,FernandaVera,diputado,,,,,,https://es.wikipedia.org/wiki/Anexo:Diputados_nacionales_de_Argentina_(2025-2027),Wikipedia - Anexo:Diputados nacionales de Argentina (2025-2027)
Fernandode,Andreis,diputado,,,,,,https://es.wikipedia.org/wiki/Anexo:Diputados_nacionales_de_Argentina_(2025-2027),Wikipedia - Anexo:Diputados nacionales de Argentina (2025-2027)
DaianaFernández,Molero,diputado,,,,,,https://es.wikipedia.org/wiki/Anexo:Diputados_nacionales_de_Argentina_(2025-2027),Wikipedia - Anexo:Diputados nacionales de Argentina (2025-2027)
Paula,AndreaPenacca,diputado,,,,,,https://es.wikipedia.org/wiki/Anexo:Diputados_nacionales_de_Argentina_(2025-2027),Wikipedia - Anexo:Diputados nacionales de Argentina (2025-2027)
Santiago,LuisRoberto,diputado,,,,,,https://es.wikipedia.org/wiki/Anexo:Diputados_nacionales_de_Argentina_(2025-2027),Wikipedia - Anexo:Diputados nacionales de Argentina (2025-2027)
Eduardo,FélixValdés,diputado,,,,,,https://es.wikipedia.org/wiki/Anexo:Diputados_nacionales_de_Argentina_(2025-2027),Wikipedia - Anexo:Diputados nacionales de Argentina (2025-2027)
Claudia,MaríaPalladino,diputado,,,,,,https://es.wikipedia.org/wiki/Anexo:Diputados_nacionales_de_Argentina_(2025-2027),Wikipedia - Anexo:Diputados nacionales de Argentina (2025-2027)
Guillermo,CésarAgüero,diputado,,,,,,https://es.wikipedia.org/wiki/Anexo:Diputados_nacionales_de_Argentina_(2025-2027),Wikipedia - Anexo:Diputados nacionales de Argentina (2025-2027)
Julieta,MarisolCampo,diputado,,,,,,https://es.wikipedia.org/wiki/Anexo:Diputados_nacionales_de_Argentina_(2025-2027),Wikipedia - Anexo:Diputados nacionales de Argentina (2025-2027)
Unión,Cívica Radical,diputado,,,,,,https://es.wikipedia.org/wiki/Anexo:Diputados_nacionales_de_Argentina_(2025-2027),Wikipedia - Anexo:Diputados nacionales de Argentina (2025-2027)
Jorge,AntonioAvila,diputado,,,,,,https://es.wikipedia.org/wiki/Anexo:Diputados_nacionales_de_Argentina_(2025-2027),Wikipedia - Anexo:Diputados nacionales de Argentina (2025-2027)
Juan,PabloLuque,diputado,,,,,,https://es.wikipedia.org/wiki/Anexo:Diputados_nacionales_de_Argentina_(2025-2027),Wikipedia - Anexo:Diputados nacionales de Argentina (2025-2027)
Juan,FernandoBrügge,diputado,,,,,,https://es.wikipedia.org/wiki/Anexo:Diputados_nacionales_de_Argentina_(2025-2027),Wikipedia - Anexo:Diputados nacionales de Argentina (2025-2027)
Nataliade,la Sota,diputado,,,,,,https://es.wikipedia.org/wiki/Anexo:Diputados_nacionales_de_Argentina_(2025-2027),Wikipedia - Anexo:Diputados nacionales de Argentina (2025-2027)
Gabriela,BeatrizEstévez,diputado,,,,,,https://es.wikipedia.org/wiki/Anexo:Diputados_nacionales_de_Argentina_(2025-2027),Wikipedia - Anexo:Diputados nacionales de Argentina (2025-2027)
IgnacioGarcía,Aresca,diputado,,,,,,https://es.wikipedia.org/wiki/Anexo:Diputados_nacionales_de_Argentina_(2025-2027),Wikipedia - Anexo:Diputados nacionales de Argentina (2025-2027)
Carlos,MarioGutiérrez,diputado,,,,,,https://es.wikipedia.org/wiki/Anexo:Diputados_nacionales_de_Argentina_(2025-2027),Wikipedia - Anexo:Diputados nacionales de Argentina (2025-2027)
María,CeciliaIbañez,diputado,,,,,,https://es.wikipedia.org/wiki/Anexo:Diputados_nacionales_de_Argentina_(2025-2027),Wikipedia - Anexo:Diputados nacionales de Argentina (2025-2027)
MarcosPatiño,Brizuela,diputado,,,,,,https://es.wikipedia.org/wiki/Anexo:Diputados_nacionales_de_Argentina_(2025-2027),Wikipedia - Anexo:Diputados nacionales de Argentina (2025-2027)
Luis,AlbinoPicat,diputado,,,,,,https://es.wikipedia.org/wiki/Anexo:Diputados_nacionales_de_Argentina_(2025-2027),Wikipedia - Anexo:Diputados nacionales de Argentina (2025-2027)
María,CelestePonce,diputado,,,,,,https://es.wikipedia.org/wiki/Anexo:Diputados_nacionales_de_Argentina_(2025-2027),Wikipedia - Anexo:Diputados nacionales de Argentina (2025-2027)
Laura,ElenaRodríguez Machado,diputado,,,,,,https://es.wikipedia.org/wiki/Anexo:Diputados_nacionales_de_Argentina_(2025-2027),Wikipedia - Anexo:Diputados nacionales de Argentina (2025-2027)
María,VirginiaGallardo,diputado,,,,,,https://es.wikipedia.org/wiki/Anexo:Diputados_nacionales_de_Argentina_(2025-2027),Wikipedia - Anexo:Diputados nacionales de Argentina (2025-2027)
Diógenes,IgnacioGonzález,diputado,,,,,,https://es.wikipedia.org/wiki/Anexo:Diputados_nacionales_de_Argentina_(2025-2027),Wikipedia - Anexo:Diputados nacionales de Argentina (2025-2027)
José,FedericoTournier,diputado,,,,,,https://es.wikipedia.org/wiki/Anexo:Diputados_nacionales_de_Argentina_(2025-2027),Wikipedia - Anexo:Diputados nacionales de Argentina (2025-2027)
Christian,AlejandroZulli,diputado,,,,,,https://es.wikipedia.org/wiki/Anexo:Diputados_nacionales_de_Argentina_(2025-2027),Wikipedia - Anexo:Diputados nacionales de Argentina (2025-2027)
Andrés,ArielLaumann,diputado,,,,,,https://es.wikipedia.org/wiki/Anexo:Diputados_nacionales_de_Argentina_(2025-2027),Wikipedia - Anexo:Diputados nacionales de Argentina (2025-2027)
Blanca,InésOsuna,diputado,,,,,,https://es.wikipedia.org/wiki/Anexo:Diputados_nacionales_de_Argentina_(2025-2027),Wikipedia - Anexo:Diputados nacionales de Argentina (2025-2027)
Luis,EugenioBasterra,diputado,,,,,,https://es.wikipedia.org/wiki/Anexo:Diputados_nacionales_de_Argentina_(2025-2027),Wikipedia - Anexo:Diputados nacionales de Argentina (2025-2027)
